States,2012,2013,2014,2015
Alabama,33,32.4,33.5,35.6
Arizona,26,26.8,28.9,28.4
Arkansas,34.5,34.6,35.9,34.5
California,25,24.1,24.7,24.2
Colorado,20.5,21.3,21.3,20.2
Connecticut,25.6,25,26.3,25.3
Delaware,26.9,31.1,30.7,29.7
District of Columbia,21.9,22.9,21.7,22.1
Florida,25.2,26.4,26.2,26.8
Georgia,29.1,30.3,30.5,30.7
Idaho,26.8,29.6,28.9,28.6
Illinois,28.1,29.4,29.3,30.8
Indiana,31.4,31.8,32.7,31.3
Iowa,30.4,31.3,30.9,32.1
Kansas,29.9,30,31.3,34.2
Kentucky,31.3,33.2,31.6,34.6
Louisiana,34.7,33.1,34.9,36.2
Maine,28.4,28.9,28.2,30
Maryland,27.6,28.3,29.6,28.9
Massachusetts,22.9,23.6,23.3,24.3
Michigan,31.1,31.5,30.7,31.2
Minnesota,25.7,25.5,27.6,26.1
Mississippi,34.6,35.1,35.5,35.6
Missouri,29.6,30.4,30.2,32.4
Montana,24.3,24.6,26.4,23.6
Nebraska,28.6,29.6,30.2,31.4
Nevada,26.2,26.2,27.7,26.7
New Hampshire,27.3,26.7,27.4,26.3
New Jersey,24.6,26.3,26.9,25.6
New Mexico,27.1,26.4,28.4,28.8
New York,23.6,25.4,27,25
North Carolina,29.6,29.4,29.7,30.1
North Dakota,29.7,31,32.3,21
Ohio,30.1,30.4,32.6,29.8
Oklahoma,32.2,32.5,33,33.9
Oregon,27.3,26.5,27.9,30.1
Pennsylvania,29.1,30,30.2,30
Rhode Island,25.7,27.3,27,26
South Carolina,31.6,31.7,32.1,31.7
South Dakota,28.1,29.9,29.8,30.4
Tennessee,31.1,33.7,31.2,33.8
Texas,29.2,30.9,31.9,32.4
Utah,24.3,24.1,25.7,24.5
Vermont,23.7,24.7,24.8,25.1
Virginia,27.4,27.2,28.5,29.2
Washington,26.8,27.2,27.3,26.4
West Virginia,33.8,35.1,35.7,35.6
Wisconsin,29.7,29.8,31.2,30.7
Wyoming,24.6,27.8,29.5,29
