States,2010,2011,2012,2015
Alabama,32.15,32.35,32.62,42.67
Alaska,60.87,61.20,61.16,81.80
Arizona,34.46,32.68,35.19,43.27
Arkansas,31.52,31.55,31.84,41.13
California,44.79,44.89,46.03,61.92
Colorado,45.76,45.91,46.24,58.01
Connecticut,55.27,55.14,54.93,72.33
Delaware,61.68,61.74,61.18,69.93
District of Columbia,148.73,147.97,145.66,181.19
Florida,34.52,34.44,34.80,42.59
Georgia,36.95,37.32,37.70,48.57
Hawaii,43.77,44.29,44.44,55.59
Idaho,332.29,32.03,31.95,39.39
Illinois,44.48,45.31,46.15,59.47
Indiana,37.27,37.94,29.07,49.33
Iowa,40.66,41.40,42.22,52.81
Kansas,39.64,40.72,41.07,50.22
Kentucky,32.66,33.14,33.52,41.59
Louisiana,44.21,42.76,43.15,54.16
Maine,34.34,34.46,34.60,41.48
Maryland,45.67,46.05,46.72,60.10
Massachusetts,51.89,52.52,53.22,69.71
Michigan,33.39,34.55,35.30,46.59
Minnesota,45.27,45.71,47.03,60.26
Mississippi,28.74,28.34,28.94,35.72
Missouri,36.14,36.17,36.82,47.21
Montana,32.21,32.74,33.20,44.31
Nebraska,44.06,44.95,44.94,59.18
Nevada,40.53,40.97,41.03,48.64
New Hampshire,41.95,42.82,42.96,53.83
New Jersey,49.03,49.02,49.43,64.07
New Mexico,34.26,33.87,33.90,41.55
New York,52.24,52.66,53.07,72.97
North Carolina,39.82,39.63,40.29,50.16
North Dakota,46.87,49.85,55.25,70.93
Ohio,35.88,36.89,37.69,51.05
Oklahoma,35.35,35.73,36.25,46.29
Oregon,45.38,46.57,48.07,56.01
Pennsylvania,38.81,39.46,40.06,52.93
Rhode Island,41.00,41.06,41.68,53.32
South Carolina,30.93,31.35,31.88,40.21
South Dakota,42.10,43.56,43.18,51.90
Tennessee,35.76,36.37,37.25,46.53
Texas,44.20,45.03,46.50,59.99
Utah,37.90,38.37,39.16,48.97
Vermont,37.90,37.74,38.20,47.52
Virginia,47.04,47.12,47.13,56.89
Washington,45.63,45.94,47.15,62.21
West Virginia,28.89,29.43,30.39,38.57
Wisconsin,38.49,38.85,39.31,51.46
Wyoming,56.69,54.97,54.31,68.54
