States,2012,2013,2014,2015
Alabama,12.3,13.8,12.9,13.5
Alaska,7.0,7.1,7.4,7.6
Arizona,10.6,10.7,10.0,10.1
Arkansas,11.3,11.5,12.7,12.6
California,9.8,10.2,10.3,10.0
Colorado,7.4,6.5,7.3,6.8
Connecticut,9.2,8.3,9.2,9.3
Delaware,9.6,11.1,11.1,11.5
District of Columbia,8.2,7.8,8.4,8.5
Florida,11.4,11.2,11.2,11.3
Georgia,9.9,10.8,11.6,11.3
Hawaii,7.8,8.4,9.8,8.5
Idaho,8.5,8.4,7.6,8.1
Illinois,9.4,9.9,10.1,9.9
Indiana,10.9,11.0,10.7,11.4
Iowa,9.7,9.3,9.5,8.8
Kansas,9.4,9.6,10.3,9.7
Kentucky,10.7,10.6,12.5,13.4
Louisiana,12.3,11.6,11.3,12.7
Maine,9.7,9.6,9.5,9.9
Maryland,10.2,9.8,10.1,10.3
Massachusetts,8.3,8.5,9.7,8.9
Michigan,10.5,8.5,10.4,10.7
Minnesota,7.3,10.4,8.1,7.6
Mississippi,12.5,7.4,13.0,14.7
Missouri,10.7,12.9,11.1,11.5
Montana,7.2,9.6,8.8,7.9
Nebraska,8.1,7.7,9.2,8.8
Nevada,8.9,9.2,9.6,9.7
New Hampshire,9.1,9.6,9.1,8.1
New Jersey,9.3,9.2,9.7,9.0
New Mexico,10.3,9.2,11.5,11.5
New York,9.7,10.7,10.0,9.8
North Carolina,10.4,10.6,10.8,10.7
North Dakota,8.6,8.9,8.6,8.7
Ohio,11.7,10.4,11.7,11.0
Oklahoma,11.5,11.0,12.0,11.7
Oregon,9.9,9.2,9.0,10.7
Pennsylvania,10.2,10.1,11.2,10.4
Rhode Island,9.8,9.3,9.4,9.0
South Carolina,11.6,12.5,12.0,11.8
South Dakota,7.8,9.1,9.1,9.3
Tennessee,11.9,12.2,13.0,12.7
Texas,10.6,10.9,11.0,11.4
Utah,7.2,7.1,7.1,8.0
Vermont,7.3,7.8,7.9,8.2
Virginia,10.6,9.8,9.7,10.3
Washington,8.8,8.6,8.9,8.4
West Virginia,13.0,13.0,14.1,14.5
Wisconsin,8.3,8.2,9.0,8.4
Wyoming,9.1,8.6,8.4,8.4
